Time (min),Temp output (°C),Temp input (°C)
1.350000000000001,40.53343602482777,42.473
1.360000000000001,40.54297250260802,42.473
1.370000000000001,40.55246209128865,42.473
1.380000000000001,40.5619050214147,42.473
1.390000000000001,40.57130152239766,42.473
1.400000000000001,40.580651822521055,42.473
1.410000000000001,40.58995614894598,42.473
1.420000000000001,40.599214727716614,42.473
1.430000000000001,40.60842778376572,42.473
1.440000000000001,40.617595540920114,42.473
1.450000000000001,40.62671822190609,42.473
1.460000000000001,40.63579604835484,42.473
1.470000000000001,40.644829240807844,42.473
1.480000000000001,40.65381801872221,42.473
1.490000000000001,40.66276260047603,42.473
1.500000000000001,40.67166320337365,42.473
1.5100000000000011,40.68052004365098,42.473
1.5200000000000011,40.68933333648075,42.473
1.5300000000000011,40.69810329597771,42.473
1.5400000000000011,40.70683013520385,42.473
1.5500000000000012,40.71551406617358,42.473
1.5600000000000012,40.72415529985887,42.473
1.5700000000000012,40.73275404619438,42.473
1.5800000000000012,40.74131051408256,42.473
1.5900000000000012,40.74982491139873,42.473
1.6000000000000012,40.75829744499612,42.473
1.6100000000000012,40.76672832071089,42.473
1.6200000000000012,40.77511774336717,42.473
1.6300000000000012,40.78346591678198,42.473
1.6400000000000012,40.79177304377022,42.473
1.6500000000000012,40.800039326149594,42.473
1.6600000000000013,40.8082649647455,42.473
1.6700000000000013,40.816450159395906,42.473
1.6800000000000013,40.82459510895623,42.473
1.6900000000000013,40.83270001130414,42.473
1.7000000000000013,40.84076506334438,42.473
1.7100000000000013,40.84879046101355,42.473
1.7200000000000013,40.856776399284875,42.473
1.7300000000000013,40.86472307217292,42.473
1.7400000000000013,40.872630672738325,42.473
1.7500000000000013,40.88049939309248,42.473
1.7600000000000013,40.8883294244022,42.473
1.7700000000000014,40.89612095689437,42.473
1.7800000000000014,40.90387417986057,42.473
1.7900000000000014,40.91158928166166,42.473
1.8000000000000014,40.91926644973236,42.473
1.8100000000000014,40.92690587058583,42.473
1.8200000000000014,40.934507729818144,42.473
1.8300000000000014,40.94207221211287,42.473
1.8400000000000014,40.949599501245494,42.473
1.8500000000000014,40.957089780087934,42.473
1.8600000000000014,40.964543230612946,42.473
1.8700000000000014,40.97196003389857,42.473
1.8800000000000014,40.9793403701325,42.473
1.8900000000000015,40.9866844186165,42.473
1.9000000000000015,40.99399235777073,42.473
1.9100000000000015,41.0012643651381,42.473
1.9200000000000015,41.00850061738856,42.473
1.9300000000000015,41.01570129032343,42.473
1.9400000000000015,41.02286655887961,42.473
1.9500000000000015,41.029996597133916,42.473
1.9600000000000015,41.03709157830721,42.473
1.9700000000000015,41.0441516747687,42.473
1.9800000000000015,41.05117705804006,42.473
1.9900000000000015,41.05816789879964,42.473
2.0000000000000013,41.065124366886586,42.473
2.010000000000001,41.072046631304985,42.473
2.020000000000001,41.07893486022795,42.473
2.0300000000000007,41.08578922100173,42.473
2.0400000000000005,41.09260988014976,42.473
2.0500000000000003,41.0993970033767,42.473
2.06,41.106150755572486,42.473
2.07,41.11287130081631,42.473
